"DateTime","Average","South Dish - Indoor A","South Dish A","South Dish B"
"2024-12-17 10:40:00",,28,63,48
"2024-12-17 10:50:00",,28,60,46
"2024-12-17 11:00:00",,27,60,45
"2024-12-17 11:10:00",,26,60,45
"2024-12-17 11:20:00",,28,63,47
"2024-12-17 11:30:00",,27,58,39
"2024-12-17 11:40:00",,24,57,40
"2024-12-17 11:50:00",,26,53,35
"2024-12-17 12:00:00",,23,47,31
"2024-12-17 12:10:00",,23,47,30
"2024-12-17 12:20:00",,20,38,25
"2024-12-17 12:30:00",,18,38,25
"2024-12-17 12:40:00",,17,37,23
"2024-12-17 12:50:00",,17,35,23
"2024-12-17 13:00:00",,17,33,21
"2024-12-17 13:10:00",,16,25,13
"2024-12-17 13:20:00",,14,22,14
"2024-12-17 13:30:00",,13,26,17
"2024-12-17 13:40:00",,14,22,15
"2024-12-17 13:50:00",,13,22,13
"2024-12-17 14:00:00",,13,26,15
"2024-12-17 14:10:00",,12,24,15
"2024-12-17 14:20:00",,12,18,11
"2024-12-17 14:30:00",,11,18,10
"2024-12-17 14:40:00",,11,18,10
"2024-12-17 14:50:00",,11,21,13
"2024-12-17 15:00:00",,13,28,18
"2024-12-17 15:10:00",,12,28,19
"2024-12-17 15:20:00",,14,28,18
"2024-12-17 15:30:00",,13,23,15
"2024-12-17 15:40:00",,13,17,12
"2024-12-17 15:50:00",,12,16,10
"2024-12-17 16:00:00",,12,17,10
"2024-12-17 16:10:00",,11,17,11
"2024-12-17 16:20:00",,11,19,11
"2024-12-17 16:30:00",,11,15,11
"2024-12-17 16:40:00",,10,16,12
"2024-12-17 16:50:00",,12,18,12
"2024-12-17 17:00:00",,12,21,15
"2024-12-17 17:10:00",,11,28,18
"2024-12-17 17:20:00",,12,27,19
"2024-12-17 17:30:00",,13,30,19
"2024-12-17 17:40:00",,14,28,19
"2024-12-17 17:50:00",,13,27,19
"2024-12-17 18:00:00",,13,27,19
"2024-12-17 18:10:00",,13,24,18
"2024-12-17 18:20:00",,12,25,18
"2024-12-17 18:30:00",,14,24,18
"2024-12-17 18:40:00",,14,25,18
"2024-12-17 18:50:00",,11,26,16
"2024-12-17 19:00:00",,13,25,19
"2024-12-17 19:10:00",,12,28,21
"2024-12-17 19:20:00",,12,22,15
"2024-12-17 19:30:00",,12,23,15
"2024-12-17 19:40:00",,13,22,16
"2024-12-17 19:50:00",,12,20,13
"2024-12-17 20:00:00",,10,17,11
"2024-12-17 20:10:00",,11,15,11
"2024-12-17 20:20:00",,10,17,11
"2024-12-17 20:30:00",,9,16,10
"2024-12-17 20:40:00",,10,16,10
"2024-12-17 20:50:00",,10,14,9
"2024-12-17 21:00:00",,8,16,9
"2024-12-17 21:10:00",,8,15,10
"2024-12-17 21:20:00",,10,40,26
"2024-12-17 21:30:00",,20,61,46
"2024-12-17 21:40:00",,23,74,58
"2024-12-17 21:50:00",,23,73,58
"2024-12-17 22:00:00",,21,54,40
"2024-12-17 22:10:00",,19,45,28
"2024-12-17 22:20:00",,18,38,27
"2024-12-17 22:30:00",,15,18,11
"2024-12-17 22:40:00",,10,8,4
"2024-12-17 22:50:00",,9,7,4
"2024-12-17 23:00:00",,8,9,5
"2024-12-17 23:10:00",,8,9,5
"2024-12-17 23:20:00",,6,9,5
"2024-12-17 23:30:00",,6,9,5
"2024-12-17 23:40:00",,6,10,5
"2024-12-17 23:50:00",,6,9,5
"2024-12-18 00:00:00",,7,12,8
"2024-12-18 00:10:00",,6,15,10
"2024-12-18 00:20:00",,6,17,12
"2024-12-18 00:30:00",,6,19,12
"2024-12-18 00:40:00",,6,15,9
"2024-12-18 00:50:00",,6,15,9
"2024-12-18 01:00:00",,5,14,10
"2024-12-18 01:10:00",,6,15,9
"2024-12-18 01:20:00",,5,14,8
"2024-12-18 01:30:00",,4,12,7
"2024-12-18 01:40:00",,5,10,6
"2024-12-18 01:50:00",,5,11,6
"2024-12-18 02:00:00",,4,9,5
"2024-12-18 02:10:00",,5,7,4
"2024-12-18 02:20:00",,5,8,3
"2024-12-18 02:30:00",,4,5,2
"2024-12-18 02:40:00",,3,5,2
"2024-12-18 02:50:00",,2,5,2
"2024-12-18 03:00:00",,3,4,2
"2024-12-18 03:10:00",,3,5,1
"2024-12-18 03:20:00",,2,5,1
"2024-12-18 03:30:00",,2,4,1
"2024-12-18 03:40:00",,2,3,1
"2024-12-18 03:50:00",,2,3,1
"2024-12-18 04:00:00",,2,2,0
"2024-12-18 04:10:00",,1,2,0
"2024-12-18 04:20:00",,2,3,0
"2024-12-18 04:30:00",,2,2,1
"2024-12-18 04:40:00",,1,1,1
"2024-12-18 04:50:00",,1,3,0
"2024-12-18 05:00:00",,1,1,0
"2024-12-18 05:10:00",,1,1,0
"2024-12-18 05:20:00",,1,1,0
"2024-12-18 05:30:00",,0,2,0
"2024-12-18 05:40:00",,0,2,0
"2024-12-18 05:50:00",,0,1,0
"2024-12-18 06:00:00",,1,2,0
"2024-12-18 06:10:00",,0,1,0
"2024-12-18 06:20:00",,1,1,0
"2024-12-18 06:30:00",,0,2,0
"2024-12-18 06:40:00",,1,2,0
"2024-12-18 06:50:00",,1,2,0
"2024-12-18 07:00:00",,0,2,0
"2024-12-18 07:10:00",,1,1,0
"2024-12-18 07:20:00",,0,2,0
"2024-12-18 07:30:00",,1,1,0
"2024-12-18 07:40:00",,0,2,0
"2024-12-18 07:50:00",,1,3,1
"2024-12-18 08:00:00",,0,4,1
"2024-12-18 08:10:00",,0,3,1
"2024-12-18 08:20:00",,1,3,1
"2024-12-18 08:30:00",,1,4,1
"2024-12-18 08:40:00",,1,6,2
"2024-12-18 08:50:00",,1,8,4
"2024-12-18 09:00:00",,1,13,8
"2024-12-18 09:10:00",,2,14,9
"2024-12-18 09:20:00",,9,18,12
"2024-12-18 09:30:00",,3,26,18
"2024-12-18 09:40:00",,6,31,20
"2024-12-18 09:50:00",,6,42,26
"2024-12-18 10:00:00",,8,50,36
"2024-12-18 10:10:00",,7,48,30
"2024-12-18 11:30:00",,12,36,24
"2024-12-18 11:40:00",,11,33,22
"2024-12-18 11:50:00",,11,30,20
"2024-12-18 12:00:00",,10,29,18
