"DateTime","Average","South Dish - Indoor A"
"2024-12-19 16:40:00",,44
"2024-12-19 16:50:00",,46
"2024-12-19 17:00:00",,47
"2024-12-19 17:10:00",,50
"2024-12-19 17:20:00",,52
"2024-12-19 17:30:00",,52
"2024-12-19 17:40:00",,53
"2024-12-19 17:50:00",,52
"2024-12-19 18:00:00",,53
"2024-12-19 18:10:00",,54
"2024-12-19 18:20:00",,54
"2024-12-19 18:30:00",,52
"2024-12-19 18:40:00",,53
"2024-12-19 18:50:00",,53
"2024-12-19 19:00:00",,49
"2024-12-19 19:10:00",,45
"2024-12-19 19:20:00",,49
"2024-12-19 19:30:00",,55
"2024-12-19 19:40:00",,55
"2024-12-19 19:50:00",,55
"2024-12-19 20:00:00",,55
"2024-12-19 20:10:00",,58
"2024-12-19 20:20:00",,60
"2024-12-19 20:30:00",,61
"2024-12-19 20:40:00",,59
"2024-12-19 20:50:00",,53
"2024-12-19 21:00:00",,54
"2024-12-19 21:10:00",,55
"2024-12-19 21:20:00",,55
"2024-12-19 21:30:00",,55
"2024-12-19 21:40:00",,54
"2024-12-19 21:50:00",,51
"2024-12-19 22:00:00",,51
"2024-12-19 22:10:00",,54
"2024-12-19 22:20:00",,53
"2024-12-19 22:30:00",,55
"2024-12-19 22:40:00",,54
"2024-12-19 22:50:00",,57
"2024-12-19 23:00:00",,56
"2024-12-19 23:10:00",,57
"2024-12-19 23:20:00",,54
"2024-12-19 23:30:00",,56
"2024-12-19 23:40:00",,56
"2024-12-19 23:50:00",,56
"2024-12-20 00:00:00",,56
"2024-12-20 00:10:00",,56
"2024-12-20 00:20:00",,58
"2024-12-20 00:30:00",,58
"2024-12-20 00:40:00",,58
"2024-12-20 00:50:00",,60
"2024-12-20 01:00:00",,59
"2024-12-20 01:10:00",,59
"2024-12-20 01:20:00",,60
"2024-12-20 01:30:00",,58
"2024-12-20 01:40:00",,56
"2024-12-20 01:50:00",,55
"2024-12-20 02:00:00",,56
"2024-12-20 02:10:00",,56
"2024-12-20 02:20:00",,57
"2024-12-20 02:30:00",,57
"2024-12-20 02:40:00",,58
"2024-12-20 02:50:00",,59
"2024-12-20 03:00:00",,58
"2024-12-20 03:10:00",,61
"2024-12-20 03:20:00",,62
"2024-12-20 03:30:00",,64
"2024-12-20 03:40:00",,62
"2024-12-20 03:50:00",,64
"2024-12-20 04:00:00",,64
"2024-12-20 04:10:00",,64
"2024-12-20 04:20:00",,60
"2024-12-20 04:30:00",,62
"2024-12-20 04:40:00",,61
"2024-12-20 04:50:00",,58
"2024-12-20 05:00:00",,62
"2024-12-20 05:10:00",,61
"2024-12-20 05:20:00",,62
"2024-12-20 05:30:00",,58
"2024-12-20 05:40:00",,59
"2024-12-20 05:50:00",,60
"2024-12-20 06:00:00",,57
"2024-12-20 06:10:00",,59
"2024-12-20 06:20:00",,58
"2024-12-20 06:30:00",,56
"2024-12-20 06:40:00",,57
"2024-12-20 06:50:00",,57
"2024-12-20 07:00:00",,57
